source,relation,target
review:ufdccZ_Tpn-YpLJOVTh9Hg,hasExtract,aspect:ufdccZ_Tpn-YpLJOVTh9Hg#3
aspect:ufdccZ_Tpn-YpLJOVTh9Hg#3,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,"opinion:soup hijacked by onions, more onions than ramen noodles"
review:ufdccZ_Tpn-YpLJOVTh9Hg,hasExtract,aspect:ufdccZ_Tpn-YpLJOVTh9Hg#4
aspect:ufdccZ_Tpn-YpLJOVTh9Hg#4,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:waitress was too busy dancing around the room and never asked how the meal was going
review:ufdccZ_Tpn-YpLJOVTh9Hg,hasExtract,aspect:ufdccZ_Tpn-YpLJOVTh9Hg#5
aspect:ufdccZ_Tpn-YpLJOVTh9Hg#5,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:bus boys were only interested in flipping the tables
review:ufdccZ_Tpn-YpLJOVTh9Hg,hasExtract,aspect:ufdccZ_Tpn-YpLJOVTh9Hg#6
aspect:ufdccZ_Tpn-YpLJOVTh9Hg#6,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:severe deficit of customer service compared to previous visits
review:ufdccZ_Tpn-YpLJOVTh9Hg,hasExtract,aspect:ufdccZ_Tpn-YpLJOVTh9Hg#7
aspect:ufdccZ_Tpn-YpLJOVTh9Hg#7,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Menu
subcategory:Menu,hasOpinion,opinion:menu overpromises flavors that are not delivered in the ramen
review:ufdccZ_Tpn-YpLJOVTh9Hg,hasExtract,aspect:ufdccZ_Tpn-YpLJOVTh9Hg#8
aspect:ufdccZ_Tpn-YpLJOVTh9Hg#8,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:shoyu ramen was subtle and not very flavorful
review:ufdccZ_Tpn-YpLJOVTh9Hg,hasExtract,aspect:ufdccZ_Tpn-YpLJOVTh9Hg#9
aspect:ufdccZ_Tpn-YpLJOVTh9Hg#9,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:kimchi ramen was overpowered by smokey bacon and lacked the expected tang and heat
review:ufdccZ_Tpn-YpLJOVTh9Hg,hasExtract,aspect:ufdccZ_Tpn-YpLJOVTh9Hg#10
aspect:ufdccZ_Tpn-YpLJOVTh9Hg#10,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:noodles were fantastic with good texture and nice bite
user:bpgKKIpdAmtqdzJT5X3xRw,hasReview,review:T2fSdeY5PiEWKpLuNfGuIQ
business:v5kwdvmg-J8g-ll0nkc3Sw,hasReview,review:T2fSdeY5PiEWKpLuNfGuIQ
review:T2fSdeY5PiEWKpLuNfGuIQ,hasExtract,aspect:T2fSdeY5PiEWKpLuNfGuIQ#1
aspect:T2fSdeY5PiEWKpLuNfGuIQ#1,hasCategory,category:Worthiness
category:Worthiness,hasSubcategory,subcategory:Price
subcategory:Price,hasOpinion,opinion:quality comes at a price
review:T2fSdeY5PiEWKpLuNfGuIQ,hasExtract,aspect:T2fSdeY5PiEWKpLuNfGuIQ#2
aspect:T2fSdeY5PiEWKpLuNfGuIQ#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Drink
subcategory:Drink,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:drinks are second to none
review:T2fSdeY5PiEWKpLuNfGuIQ,hasExtract,aspect:T2fSdeY5PiEWKpLuNfGuIQ#3
aspect:T2fSdeY5PiEWKpLuNfGuIQ#3,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:bartenders are friendly and very knowledgeable
review:T2fSdeY5PiEWKpLuNfGuIQ,hasExtract,aspect:T2fSdeY5PiEWKpLuNfGuIQ#4
aspect:T2fSdeY5PiEWKpLuNfGuIQ#4,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Ingredients
subcategory:Ingredients,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:ingredients are fresh and clearly high quality
review:T2fSdeY5PiEWKpLuNfGuIQ,hasExtract,aspect:T2fSdeY5PiEWKpLuNfGuIQ#5
aspect:T2fSdeY5PiEWKpLuNfGuIQ#5,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasOpinion,opinion:flight of bacon is a must
review:T2fSdeY5PiEWKpLuNfGuIQ,hasExtract,aspect:T2fSdeY5PiEWKpLuNfGuIQ#6
aspect:T2fSdeY5PiEWKpLuNfGuIQ#6,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasOpinion,opinion:bacon dipped in chocolate sauce pulled it off
review:T2fSdeY5PiEWKpLuNfGuIQ,hasExtract,aspect:T2fSdeY5PiEWKpLuNfGuIQ#7
aspect:T2fSdeY5PiEWKpLuNfGuIQ#7,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:oysters with deep flavors
review:T2fSdeY5PiEWKpLuNfGuIQ,hasExtract,aspect:T2fSdeY5PiEWKpLuNfGuIQ#8
aspect:T2fSdeY5PiEWKpLuNfGuIQ#8,hasCategory,category:Worthiness
category:Worthiness,hasSubcategory,subcategory:Price
subcategory:Price,hasOpinion,opinion:each oyster runs $3
user:Vi3DYtNDYsVs4g4g7o_fvQ,hasReview,review:8eS_hMoW8IFAkBfq51hY0A
business:R_Wi9jh57H_OzzAVWO71Bw,hasReview,review:8eS_hMoW8IFAkBfq51hY0A
review:8eS_hMoW8IFAkBfq51hY0A,hasExtract,aspect:8eS_hMoW8IFAkBfq51hY0A#1
aspect:8eS_hMoW8IFAkBfq51hY0A#1,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:Amazing service
review:8eS_hMoW8IFAkBfq51hY0A,hasExtract,aspect:8eS_hMoW8IFAkBfq51hY0A#2
aspect:8eS_hMoW8IFAkBfq51hY0A#2,hasCategory,category:Ambiance
category:Ambiance,hasSubcategory,subcategory:Environment
subcategory:Environment,hasOpinion,opinion:gorgeous atmosphere
review:8eS_hMoW8IFAkBfq51hY0A,hasExtract,aspect:8eS_hMoW8IFAkBfq51hY0A#3
aspect:8eS_hMoW8IFAkBfq51hY0A#3,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Price
detail:Price,hasOpinion,opinion:slightly on the pricier side
review:8eS_hMoW8IFAkBfq51hY0A,hasExtract,aspect:8eS_hMoW8IFAkBfq51hY0A#4
aspect:8eS_hMoW8IFAkBfq51hY0A#4,hasCategory,category:Worthiness
category:Worthiness,hasSubcategory,subcategory:Price
subcategory:Price,hasOpinion,opinion:worth every penny
review:8eS_hMoW8IFAkBfq51hY0A,hasExtract,aspect:8eS_hMoW8IFAkBfq51hY0A#5
aspect:8eS_hMoW8IFAkBfq51hY0A#5,hasCategory,category:Worthiness
category:Worthiness,hasSubcategory,subcategory:Price
subcategory:Price,hasOpinion,opinion:You pay for what you get
review:8eS_hMoW8IFAkBfq51hY0A,hasExtract,aspect:8eS_hMoW8IFAkBfq51hY0A#6
aspect:8eS_hMoW8IFAkBfq51hY0A#6,hasCategory,category:Ambiance
category:Ambiance,hasSubcategory,subcategory:Environment
subcategory:Environment,hasDetail,detail:Type
detail:Type,hasOpinion,opinion:very new and unique concept
review:8eS_hMoW8IFAkBfq51hY0A,hasExtract,aspect:8eS_hMoW8IFAkBfq51hY0A#7
aspect:8eS_hMoW8IFAkBfq51hY0A#7,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:spanakopita pastries did not disappoint
review:8eS_hMoW8IFAkBfq51hY0A,hasExtract,aspect:8eS_hMoW8IFAkBfq51hY0A#8
aspect:8eS_hMoW8IFAkBfq51hY0A#8,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:Greek yogurt did not disappoint
review:8eS_hMoW8IFAkBfq51hY0A,hasExtract,aspect:8eS_hMoW8IFAkBfq51hY0A#9
aspect:8eS_hMoW8IFAkBfq51hY0A#9,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Drink
subcategory:Drink,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:baklava latte was amazing
review:8eS_hMoW8IFAkBfq51hY0A,hasExtract,aspect:8eS_hMoW8IFAkBfq51hY0A#10
aspect:8eS_hMoW8IFAkBfq51hY0A#10,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Dessert
subcategory:Dessert,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:baklava frozen yogurt was amazing
review:8eS_hMoW8IFAkBfq51hY0A,hasExtract,aspect:8eS_hMoW8IFAkBfq51hY0A#11
aspect:8eS_hMoW8IFAkBfq51hY0A#11,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Menu
subcategory:Menu,hasOpinion,opinion:menu looked amazing
user:vU9_lZqJQIR8btUYw7fqxA,hasReview,review:AuM0Sbsi4-UXc93qGR_m5Q
business:CUeSlzcKOUKJwYeFtdaKeA,hasReview,review:AuM0Sbsi4-UXc93qGR_m5Q
review:AuM0Sbsi4-UXc93qGR_m5Q,hasExtract,aspect:AuM0Sbsi4-UXc93qGR_m5Q#1
aspect:AuM0Sbsi4-UXc93qGR_m5Q#1,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:can't taste the chicken; the chicken is really chewy and somewhat hard
review:AuM0Sbsi4-UXc93qGR_m5Q,hasExtract,aspect:AuM0Sbsi4-UXc93qGR_m5Q#2
aspect:AuM0Sbsi4-UXc93qGR_m5Q#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:fried vegetables and noodles were not good
review:AuM0Sbsi4-UXc93qGR_m5Q,hasExtract,aspect:AuM0Sbsi4-UXc93qGR_m5Q#3
aspect:AuM0Sbsi4-UXc93qGR_m5Q#3,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Size
detail:Size,hasOpinion,opinion:portion is pretty small; only enough for a medium sized lunch
review:AuM0Sbsi4-UXc93qGR_m5Q,hasExtract,aspect:AuM0Sbsi4-UXc93qGR_m5Q#4
aspect:AuM0Sbsi4-UXc93qGR_m5Q#4,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Ingredients
subcategory:Ingredients,hasDetail,detail:Healthy
detail:Healthy,hasOpinion,"opinion:everything is greasy or fried, making the place unhealthy"
user:5u0GkU8U_bo4oyZx6iwPgA,hasReview,review:PhL6bdYpLGgnAS3P_Sih4Q
business:hCepXKyaJ4dQb2WX3KcUpA,hasReview,review:PhL6bdYpLGgnAS3P_Sih4Q
review:PhL6bdYpLGgnAS3P_Sih4Q,hasExtract,aspect:PhL6bdYpLGgnAS3P_Sih4Q#1
aspect:PhL6bdYpLGgnAS3P_Sih4Q#1,hasCategory,category:Ambiance
category:Ambiance,hasSubcategory,subcategory:Places or Areas
subcategory:Places or Areas,hasOpinion,opinion:nice dart area
review:PhL6bdYpLGgnAS3P_Sih4Q,hasExtract,aspect:PhL6bdYpLGgnAS3P_Sih4Q#2
aspect:PhL6bdYpLGgnAS3P_Sih4Q#2,hasCategory,category:Ambiance
category:Ambiance,hasSubcategory,subcategory:Entertainment
subcategory:Entertainment,hasDetail,detail:Music
detail:Music,hasOpinion,opinion:depressing music
review:PhL6bdYpLGgnAS3P_Sih4Q,hasExtract,aspect:PhL6bdYpLGgnAS3P_Sih4Q#3
aspect:PhL6bdYpLGgnAS3P_Sih4Q#3,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Availability
detail:Availability,hasOpinion,opinion:lack of people
review:PhL6bdYpLGgnAS3P_Sih4Q,hasExtract,aspect:PhL6bdYpLGgnAS3P_Sih4Q#4
aspect:PhL6bdYpLGgnAS3P_Sih4Q#4,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:staff contributed to depressing atmosphere
user:wZSqPMODAvguRU4oYMKmXA,hasReview,review:139sHIgx8lTG_caIs_GTDQ
business:RvIlsB_kQBqCkTjdmIMDUw,hasReview,review:139sHIgx8lTG_caIs_GTDQ
review:139sHIgx8lTG_caIs_GTDQ,hasExtract,aspect:139sHIgx8lTG_caIs_GTDQ#1
aspect:139sHIgx8lTG_caIs_GTDQ#1,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Cooking Level
detail:Cooking Level,hasOpinion,opinion:raw strips of fat
review:139sHIgx8lTG_caIs_GTDQ,hasExtract,aspect:139sHIgx8lTG_caIs_GTDQ#2
aspect:139sHIgx8lTG_caIs_GTDQ#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:broth lacked flavor
review:139sHIgx8lTG_caIs_GTDQ,hasExtract,aspect:139sHIgx8lTG_caIs_GTDQ#3
aspect:139sHIgx8lTG_caIs_GTDQ#3,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Cooking Level
detail:Cooking Level,hasOpinion,opinion:noodles soggy
review:139sHIgx8lTG_caIs_GTDQ,hasExtract,aspect:139sHIgx8lTG_caIs_GTDQ#4
aspect:139sHIgx8lTG_caIs_GTDQ#4,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Cooking Level
detail:Cooking Level,hasOpinion,opinion:asian chicken wings raw
review:139sHIgx8lTG_caIs_GTDQ,hasExtract,aspect:139sHIgx8lTG_caIs_GTDQ#5
aspect:139sHIgx8lTG_caIs_GTDQ#5,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:hot mess
user:3mR28S5jJQS-SwvzOPGo5A,hasReview,review:N_5OwoNfNd2NIIbiQ4o-1A
business:AX4XFPDUYK2eeioZFCZgCQ,hasReview,review:N_5OwoNfNd2NIIbiQ4o-1A
review:N_5OwoNfNd2NIIbiQ4o-1A,hasExtract,aspect:N_5OwoNfNd2NIIbiQ4o-1A#1
aspect:N_5OwoNfNd2NIIbiQ4o-1A#1,hasCategory,category:Ambiance
category:Ambiance,hasSubcategory,subcategory:Entertainment
subcategory:Entertainment,hasDetail,detail:Music
detail:Music,hasOpinion,opinion:Jesus music on the speakers almost as loud as the bars
review:N_5OwoNfNd2NIIbiQ4o-1A,hasExtract,aspect:N_5OwoNfNd2NIIbiQ4o-1A#2
aspect:N_5OwoNfNd2NIIbiQ4o-1A#2,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,"opinion:more worried about flirting than serving, not attentive"
review:N_5OwoNfNd2NIIbiQ4o-1A,hasExtract,aspect:N_5OwoNfNd2NIIbiQ4o-1A#3
aspect:N_5OwoNfNd2NIIbiQ4o-1A#3,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Appearance
detail:Appearance,hasOpinion,opinion:making sure she looked good while flirting
review:N_5OwoNfNd2NIIbiQ4o-1A,hasExtract,aspect:N_5OwoNfNd2NIIbiQ4o-1A#4
aspect:N_5OwoNfNd2NIIbiQ4o-1A#4,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,"opinion:burger was pretty good, a step up from Burger King"
review:N_5OwoNfNd2NIIbiQ4o-1A,hasExtract,aspect:N_5OwoNfNd2NIIbiQ4o-1A#5
aspect:N_5OwoNfNd2NIIbiQ4o-1A#5,hasCategory,category:Worthiness
category:Worthiness,hasSubcategory,subcategory:Price
subcategory:Price,hasOpinion,opinion:price point for all the food was only $4.99
review:N_5OwoNfNd2NIIbiQ4o-1A,hasExtract,aspect:N_5OwoNfNd2NIIbiQ4o-1A#6
aspect:N_5OwoNfNd2NIIbiQ4o-1A#6,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Drink
subcategory:Drink,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:Cheesecake milkshake was an awesome idea
review:N_5OwoNfNd2NIIbiQ4o-1A,hasExtract,aspect:N_5OwoNfNd2NIIbiQ4o-1A#7
aspect:N_5OwoNfNd2NIIbiQ4o-1A#7,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:sauces were good and the veggies were okay
review:N_5OwoNfNd2NIIbiQ4o-1A,hasExtract,aspect:N_5OwoNfNd2NIIbiQ4o-1A#8
aspect:N_5OwoNfNd2NIIbiQ4o-1A#8,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:bacon wrap was weird and could be executed better
review:N_5OwoNfNd2NIIbiQ4o-1A,hasExtract,aspect:N_5OwoNfNd2NIIbiQ4o-1A#9
aspect:N_5OwoNfNd2NIIbiQ4o-1A#9,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:hush puppies were okay too
user:8FfQs1UH7_RxmzRplrdiCg,hasReview,review:oYiNFFe-TCg7smYc3gy7_Q
business:7PfzN9GmM-Yndv8bIjlwJw,hasReview,review:oYiNFFe-TCg7smYc3gy7_Q
review:oYiNFFe-TCg7smYc3gy7_Q,hasExtract,aspect:oYiNFFe-TCg7smYc3gy7_Q#1
aspect:oYiNFFe-TCg7smYc3gy7_Q#1,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:wonderful
review:oYiNFFe-TCg7smYc3gy7_Q,hasExtract,aspect:oYiNFFe-TCg7smYc3gy7_Q#2
aspect:oYiNFFe-TCg7smYc3gy7_Q#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Size
detail:Size,hasOpinion,opinion:good portion
review:oYiNFFe-TCg7smYc3gy7_Q,hasExtract,aspect:oYiNFFe-TCg7smYc3gy7_Q#3
aspect:oYiNFFe-TCg7smYc3gy7_Q#3,hasCategory,category:Worthiness
category:Worthiness,hasSubcategory,subcategory:Price
subcategory:Price,hasOpinion,opinion:worth every cent
review:oYiNFFe-TCg7smYc3gy7_Q,hasExtract,aspect:oYiNFFe-TCg7smYc3gy7_Q#4
aspect:oYiNFFe-TCg7smYc3gy7_Q#4,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:excellant
review:oYiNFFe-TCg7smYc3gy7_Q,hasExtract,aspect:oYiNFFe-TCg7smYc3gy7_Q#5
aspect:oYiNFFe-TCg7smYc3gy7_Q#5,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Delivery
subcategory:Delivery,hasDetail,detail:Time
detail:Time,hasOpinion,opinion:ready for pickup as stated in email
user:8DclOINSPldMTgiEbuCdoA,hasReview,review:thXDCRTdu3bovJMIjdWU_Q
business:2TW0TCqrRxyolGb3S_uTiA,hasReview,review:thXDCRTdu3bovJMIjdWU_Q
review:thXDCRTdu3bovJMIjdWU_Q,hasExtract,aspect:thXDCRTdu3bovJMIjdWU_Q#1
aspect:thXDCRTdu3bovJMIjdWU_Q#1,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:terrible
review:thXDCRTdu3bovJMIjdWU_Q,hasExtract,aspect:thXDCRTdu3bovJMIjdWU_Q#2
aspect:thXDCRTdu3bovJMIjdWU_Q#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:pretty basic but satisfying
review:thXDCRTdu3bovJMIjdWU_Q,hasExtract,aspect:thXDCRTdu3bovJMIjdWU_Q#3
aspect:thXDCRTdu3bovJMIjdWU_Q#3,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Size
detail:Size,hasOpinion,opinion:small soup
review:thXDCRTdu3bovJMIjdWU_Q,hasExtract,aspect:thXDCRTdu3bovJMIjdWU_Q#4
aspect:thXDCRTdu3bovJMIjdWU_Q#4,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Menu
subcategory:Menu,hasOpinion,"opinion:huge, varied menu"
review:thXDCRTdu3bovJMIjdWU_Q,hasExtract,aspect:thXDCRTdu3bovJMIjdWU_Q#5
aspect:thXDCRTdu3bovJMIjdWU_Q#5,hasCategory,category:Worthiness
category:Worthiness,hasSubcategory,subcategory:Price
subcategory:Price,hasOpinion,opinion:reasonable prices
review:thXDCRTdu3bovJMIjdWU_Q,hasExtract,aspect:thXDCRTdu3bovJMIjdWU_Q#6
aspect:thXDCRTdu3bovJMIjdWU_Q#6,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:friendly enough
review:thXDCRTdu3bovJMIjdWU_Q,hasExtract,aspect:thXDCRTdu3bovJMIjdWU_Q#7
aspect:thXDCRTdu3bovJMIjdWU_Q#7,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Experience
detail:Experience,hasOpinion,opinion:okay
user:hLE_z5zH83DkGBDQ-CnCJg,hasReview,review:rk9bhpyPEKUFqBEDp4jATA
business:y3LlrItb8nrzMYYiqQee3g,hasReview,review:rk9bhpyPEKUFqBEDp4jATA
review:rk9bhpyPEKUFqBEDp4jATA,hasExtract,aspect:rk9bhpyPEKUFqBEDp4jATA#1
aspect:rk9bhpyPEKUFqBEDp4jATA#1,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:delicious and some of the best I've had
review:rk9bhpyPEKUFqBEDp4jATA,hasExtract,aspect:rk9bhpyPEKUFqBEDp4jATA#2
aspect:rk9bhpyPEKUFqBEDp4jATA#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:crust was light and crispy
review:rk9bhpyPEKUFqBEDp4jATA,hasExtract,aspect:rk9bhpyPEKUFqBEDp4jATA#3
aspect:rk9bhpyPEKUFqBEDp4jATA#3,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Ingredients
subcategory:Ingredients,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:variety of topping choice was great
review:rk9bhpyPEKUFqBEDp4jATA,hasExtract,aspect:rk9bhpyPEKUFqBEDp4jATA#4
aspect:rk9bhpyPEKUFqBEDp4jATA#4,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Price
detail:Price,hasOpinion,opinion:half price pizza night and the price was certainly right
review:rk9bhpyPEKUFqBEDp4jATA,hasExtract,aspect:rk9bhpyPEKUFqBEDp4jATA#5
aspect:rk9bhpyPEKUFqBEDp4jATA#5,hasCategory,category:Discount/Offer
category:Discount/Offer,hasOpinion,opinion:half price pizza night
review:rk9bhpyPEKUFqBEDp4jATA,hasExtract,aspect:rk9bhpyPEKUFqBEDp4jATA#6
aspect:rk9bhpyPEKUFqBEDp4jATA#6,hasCategory,category:Ambiance
category:Ambiance,hasSubcategory,subcategory:The Decor
subcategory:The Decor,hasOpinion,"opinion:bright, cheery and very clean dining room"
user:JM9KeARoaCtg1sXv5o3tcg,hasReview,review:pxG_jZwywkF4-nVz0RGPJQ
business:8MoqZqlNN9AXzG91_Hpc_Q,hasReview,review:pxG_jZwywkF4-nVz0RGPJQ
review:pxG_jZwywkF4-nVz0RGPJQ,hasExtract,aspect:pxG_jZwywkF4-nVz0RGPJQ#1
aspect:pxG_jZwywkF4-nVz0RGPJQ#1,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Food item
subcategory:Food item,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:excellent
review:pxG_jZwywkF4-nVz0RGPJQ,hasExtract,aspect:pxG_jZwywkF4-nVz0RGPJQ#2
aspect:pxG_jZwywkF4-nVz0RGPJQ#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Drink
subcategory:Drink,hasOpinion,opinion:good selection of drinks including Paddy's Irish Whiskey
review:pxG_jZwywkF4-nVz0RGPJQ,hasExtract,aspect:pxG_jZwywkF4-nVz0RGPJQ#3
aspect:pxG_jZwywkF4-nVz0RGPJQ#3,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,opinion:friendly and attentive
user:2WEFQLpntv28SXsBHJWAHw,hasReview,review:tkmVJUk-SBhrF6_r-KFnAQ
business:5N33VO4gB41-8Cqm0FzbGA,hasReview,review:tkmVJUk-SBhrF6_r-KFnAQ
review:tkmVJUk-SBhrF6_r-KFnAQ,hasExtract,aspect:tkmVJUk-SBhrF6_r-KFnAQ#1
aspect:tkmVJUk-SBhrF6_r-KFnAQ#1,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Dessert
subcategory:Dessert,hasDetail,detail:Taste
detail:Taste,hasOpinion,opinion:absolutely delicious
review:tkmVJUk-SBhrF6_r-KFnAQ,hasExtract,aspect:tkmVJUk-SBhrF6_r-KFnAQ#2
aspect:tkmVJUk-SBhrF6_r-KFnAQ#2,hasCategory,category:Food
category:Food,hasSubcategory,subcategory:Dessert
subcategory:Dessert,hasDetail,detail:Quality
detail:Quality,hasOpinion,opinion:perfect amount of frosting and cake ratio
user:8a_4fVgDuenThfYFfKAqZg,hasReview,review:vFT48fYbvXstdQxcEiDT8w
business:l_slvEnh4v3W8BXF1gYlcQ,hasReview,review:vFT48fYbvXstdQxcEiDT8w
review:vFT48fYbvXstdQxcEiDT8w,hasExtract,aspect:vFT48fYbvXstdQxcEiDT8w#1
aspect:vFT48fYbvXstdQxcEiDT8w#1,hasCategory,category:Service
category:Service,hasSubcategory,subcategory:Staffs
subcategory:Staffs,hasDetail,detail:Behaviour
detail:Behaviour,hasOpinion,"opinion:denied entry because of shirt, hostess was dismissive"
review:vFT48fYbvXstdQxcEiDT8w,hasExtract,aspect:vFT48fYbvXstdQxcEiDT8w#2
aspect:vFT48fYbvXstdQxcEiDT8w#2,hasCategory,category:Others
category:Others,hasSubcategory,subcategory:Overall Experience/Opinion
